trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1072,False,"{'a': 0.5, 'e': 0.47836886894144715}",20,6,-37.10544818838689,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
1073,False,"{'a': 0.5, 'e': 0.4774904709057004}",20,4,-37.609875995857365,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
1074,False,"{'a': 0.5, 'e': 0.4766115953795223}",20,4,-25.3703575221799,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1075,False,"{'a': 0.5, 'e': 0.4757322432417888}",35,10,-15.17548097866402,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",1
1076,False,"{'a': 0.5, 'e': 0.47485241537185147}",20,8,7.073991382550699,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1077,False,"{'a': 0.5, 'e': 0.47397211264953854}",20,14,-41.457797670149965,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
1078,False,"{'a': 0.5, 'e': 0.47309133595515224}",20,8,0.43426893252980703,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1079,False,"{'a': 0.5, 'e': 0.4722100861694696}",30,14,-97.2151716753296,"{0: 8, 1: 0, 2: 7, 3: 0, 4: 1}",1
1080,False,"{'a': 0.5, 'e': 0.47132836417373997}",25,0,-10.920227684985997,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
1081,False,"{'a': 0.5, 'e': 0.4704461708496856}",25,15,10.398813364855096,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.5, 'e': 0.46956350707949945}",30,18,-8.90749965417066,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
1083,False,"{'a': 0.5, 'e': 0.46868037374584554}",25,15,9.560990125423725,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1084,False,"{'a': 0.5, 'e': 0.4677967717318567}",20,6,-78.87062354054432,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
1085,False,"{'a': 0.5, 'e': 0.4669127019211353}",30,8,-42.952073925159176,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
1086,False,"{'a': 0.5, 'e': 0.46602816519775075}",20,0,-56.507569410105674,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
1087,False,"{'a': 0.5, 'e': 0.46514316244624}",20,13,-10.278333880695927,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1088,False,"{'a': 0.5, 'e': 0.46425769455160537}",20,6,5.6589206883534375,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1089,False,"{'a': 0.5, 'e': 0.4633717623993151}",25,0,-5.3100806165306285,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
1090,False,"{'a': 0.5, 'e': 0.4624853668753008}",20,0,-59.59748001067514,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
1091,False,"{'a': 0.5, 'e': 0.4615985088659584}",20,6,-52.35865519015592,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
1092,False,"{'a': 0.5, 'e': 0.46071118925814536}",25,12,-9.796292585653982,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
1093,False,"{'a': 0.5, 'e': 0.4598234089391817}",25,8,-59.7453144532181,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
1094,False,"{'a': 0.5, 'e': 0.4589351687968472}",20,16,8.860397650328146,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.5, 'e': 0.45804646971938234}",25,18,1.6772053415923303,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1096,False,"{'a': 0.5, 'e': 0.45715731259548575}",20,0,-76.95561216028501,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1097,False,"{'a': 0.5, 'e': 0.45626769831431485}",20,4,-16.569888236399073,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
1098,False,"{'a': 0.5, 'e': 0.45537762776548346}",35,0,-52.36359874834154,"{0: 26, 1: 2, 2: 6, 3: 1, 4: 0}",0
1099,False,"{'a': 0.5, 'e': 0.4544871018390625}",20,4,-1.342084923339542,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
1100,False,"{'a': 0.5, 'e': 0.4535961214255773}",25,0,-14.53810503605221,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
1101,False,"{'a': 0.5, 'e': 0.4527046874160087}",25,0,-24.46941054458216,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
1102,False,"{'a': 0.5, 'e': 0.45181280070179025}",20,12,13.144958668607364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.5, 'e': 0.4509204621748089}",20,0,-28.355434478102808,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1104,False,"{'a': 0.5, 'e': 0.45002767272740274}",20,0,-41.759957050504234,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
1105,False,"{'a': 0.5, 'e': 0.4491344332523616}",25,0,-31.779336195491545,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
1106,False,"{'a': 0.5, 'e': 0.4482407446429244}",30,16,8.462555548910988,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1107,False,"{'a': 0.5, 'e': 0.4473466077927801}",20,8,-21.011521416655057,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
1108,False,"{'a': 0.5, 'e': 0.4464520235960651}",30,8,-37.67922346156051,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
1109,False,"{'a': 0.5, 'e': 0.44555699294736395}",20,0,2.5610444039413585,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
1110,False,"{'a': 0.5, 'e': 0.4446615167417068}",35,17,-44.483792805433175,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
1111,False,"{'a': 0.5, 'e': 0.4437655958745701}",25,3,-109.98632212490475,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 3}",1
1112,False,"{'a': 0.5, 'e': 0.4428692312418743}",20,8,-10.673094948935242,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
1113,False,"{'a': 0.5, 'e': 0.44197242373998435}",25,0,-55.91068021754308,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
1114,False,"{'a': 0.5, 'e': 0.44107517426570736}",20,9,-42.46691721659324,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
1115,False,"{'a': 0.5, 'e': 0.440177483716293}",20,8,-21.74213112592487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1116,False,"{'a': 0.5, 'e': 0.43927935298943144}",20,0,-112.54141119015007,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
1117,False,"{'a': 0.5, 'e': 0.4383807829832537}",25,6,9.74074409001734,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
1118,False,"{'a': 0.5, 'e': 0.4374817745963293}",25,13,6.8495927367826335,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1119,False,"{'a': 0.5, 'e': 0.43658232872766695}",20,0,-10.645372110729372,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.4356824462767121}",30,13,-17.41739968730907,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
1121,False,"{'a': 0.5, 'e': 0.43478212814334743}",30,16,-13.136619274534683,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
1122,False,"{'a': 0.5, 'e': 0.43388137522789066}",20,0,-44.24010486749753,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1123,False,"{'a': 0.5, 'e': 0.432980188431095}",30,13,-40.311055816825565,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
1124,False,"{'a': 0.5, 'e': 0.4320785686541468}",30,9,34.53789526027297,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.5, 'e': 0.4311765167986662}",35,0,-139.37606038955218,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
1126,False,"{'a': 0.5, 'e': 0.4302740337667045}",20,0,-9.464542661146446,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 0.42937112046074505}",25,5,-28.318408872504673,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",1
1128,False,"{'a': 0.5, 'e': 0.42846777778370077}",20,3,-6.891961306775389,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1129,False,"{'a': 0.5, 'e': 0.4275640066389146}",20,14,11.846949007324543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.5, 'e': 0.42665980793015723}",20,11,-3.386170986181115,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
1131,False,"{'a': 0.5, 'e': 0.42575518256162764}",25,0,4.3866407231549935,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1132,False,"{'a': 0.5, 'e': 0.4248501314379508}",25,4,-52.0640441326425,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
1133,False,"{'a': 0.5, 'e': 0.42394465546417814}",20,0,-18.780068469541952,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1134,False,"{'a': 0.5, 'e': 0.42303875554578513}",20,9,15.438406328124062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.422132432588672}",20,10,16.221064149253,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.5, 'e': 0.42122568749916134}",25,0,-37.792857109800686,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
1137,False,"{'a': 0.5, 'e': 0.42031852118399843}",30,16,-25.734813247362318,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
1138,False,"{'a': 0.5, 'e': 0.41941093455034917}",20,8,19.551873645067552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.5, 'e': 0.41850292850580045}",30,21,-8.430276144784667,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
1140,False,"{'a': 0.5, 'e': 0.41759450395835795}",20,8,15.924138168349801,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.5, 'e': 0.4166856618164465}",20,9,-3.4553234555429118,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1142,False,"{'a': 0.5, 'e': 0.4157764029889078}",30,15,-35.09246579706809,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
1143,False,"{'a': 0.5, 'e': 0.4148667283850009}",20,0,-58.096776518641015,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
1144,False,"{'a': 0.5, 'e': 0.4139566389144}",20,11,-7.512115746448659,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
1145,False,"{'a': 0.5, 'e': 0.4130461354871949}",25,13,20.78017061116997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
